                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75744,                 1.7161,                0.46855,                 1.0817,                0.80775,                0.84507,                0.89379,                0.60742,                0.86425,                0.79577,                0.88734,                0.51874,                 1.1092,                 2.1495,                 0.6895,                 1.3813,                0.00046,                0.00046,                0.00046
                      2,                0.83325,                 1.8806,                0.56721,                 1.1017,                0.84792,                0.76408,                0.86956,                0.61221,                0.86015,                0.77465,                0.87432,                 0.5355,                 1.1439,                  2.221,                0.72376,                 1.3974,             0.00093069,             0.00093069,             0.00093069
                      3,                0.89668,                 1.9217,                0.60276,                 1.1499,                0.72173,                0.78538,                 0.7866,                0.49082,                 0.7362,                0.77817,                0.76666,                 0.4018,                 1.3059,                 2.6278,                0.96352,                 1.5122,              0.0013919,              0.0013919,              0.0013919
                      4,                0.98687,                 2.1199,                0.69445,                 1.1843,                0.76493,                0.69014,                0.75996,                0.51005,                0.75621,                0.67606,                0.75124,                0.42805,                 1.2076,                 2.4806,                 1.2105,                  1.418,              0.0018436,              0.0018436,              0.0018436
                      5,                 1.0557,                  2.206,                0.81028,                 1.2574,                0.75061,                0.66768,                0.71555,                0.46069,                0.74051,                0.67606,                0.72059,                0.41674,                 1.3702,                   2.98,                 1.3998,                 1.5163,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0387,                 2.1311,                 0.7509,                 1.2357,                0.70363,                0.46127,                 0.4767,                0.29845,                0.67864,                0.45775,                0.47578,                 0.2654,                 1.6212,                 3.3701,                  2.691,                 1.7133,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.028,                 2.1639,                  0.734,                 1.2006,                0.81539,                0.78873,                 0.8555,                0.55335,                0.81981,                0.79225,                 0.8503,                0.47096,                 1.2767,                 2.5183,                0.85406,                 1.4523,               0.001901,               0.001901,               0.001901
                      8,                 1.0192,                 2.1266,                0.69429,                 1.2236,                0.80582,                 0.8183,                0.85967,                0.54965,                0.78615,                0.78521,                0.83349,                0.47017,                 1.2307,                 2.3875,                0.95256,                 1.4513,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0524,                 2.1555,                0.70172,                 1.2144,                0.84945,                   0.75,                0.86967,                0.56331,                0.84014,                0.73944,                0.85217,                0.48469,                 1.2195,                 2.2919,                 0.8134,                 1.4431,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.076,                 2.1706,                0.71945,                  1.246,                0.80342,                0.77712,                0.85709,                0.55632,                0.79568,                 0.7679,                0.84066,                0.46977,                 1.1904,                 2.2875,                0.88914,                  1.377,              0.0018416,              0.0018416,              0.0018416
